                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      9,                0.89025,                0.70314,                 1.2567,                0.94188,                0.88496,                0.94512,                0.70166,                 1.0604,                0.62284,                 1.4797,             0.00081688,             0.00081688,             0.00081688
                     10,                0.85805,                0.65926,                 1.2355,                 0.9389,                0.90758,                0.95392,                0.71868,                 1.0126,                0.58163,                 1.4411,               0.000755,               0.000755,               0.000755
                     11,                0.83266,                0.51629,                 1.2828,                0.94221,                0.91889,                0.96062,                0.73586,                0.99116,                0.54972,                 1.4023,             0.00069313,             0.00069313,             0.00069313
                     12,                 0.7795,                0.45739,                 1.2348,                0.96148,                0.93742,                0.97329,                0.76481,                0.92999,                0.46929,                 1.3569,             0.00063125,             0.00063125,             0.00063125
                     13,                 0.7327,                0.41567,                  1.197,                0.96417,                0.94205,                0.97545,                0.76818,                0.90586,                0.44363,                 1.3406,             0.00056938,             0.00056938,             0.00056938
                     14,                0.68689,                0.38282,                 1.1587,                0.96484,                0.95392,                0.97786,                0.78565,                0.86568,                0.41755,                 1.3123,              0.0005075,              0.0005075,              0.0005075
                     15,                0.63969,                0.34312,                  1.121,                0.97937,                0.95052,                0.98018,                  0.795,                0.84867,                0.39029,                 1.3008,             0.00044563,             0.00044563,             0.00044563
                     16,                0.60322,                0.32313,                 1.0913,                 0.9628,                0.96147,                0.98152,                 0.8091,                0.81361,                 0.3779,                 1.2789,             0.00038375,             0.00038375,             0.00038375
                     17,                0.56597,                0.29901,                 1.0589,                 0.9789,                0.95184,                0.98075,                0.81922,                0.79156,                0.36305,                 1.2522,             0.00032188,             0.00032188,             0.00032188
                     18,                0.53188,                0.27635,                 1.0353,                0.96781,                0.96872,                0.98413,                0.82554,                0.77705,                0.34965,                 1.2458,                0.00026,                0.00026,                0.00026
                     19,                0.49672,                0.25752,                 1.0097,                0.98441,                0.95609,                 0.9845,                0.83174,                0.74892,                0.33849,                 1.2204,             0.00019813,             0.00019813,             0.00019813
                     20,                0.46766,                0.24113,                0.98799,                0.97664,                0.96206,                 0.9857,                0.83704,                0.74011,                0.33086,                 1.2218,             0.00013625,             0.00013625,             0.00013625
